datetime,time_min,us_station_obs,ds_station_obs
           2020-09-25 18:04:00,0,6.72,6.24
           2020-09-25 18:14:00,10,6.724609536,6.242628195
           2020-09-25 18:24:00,20,6.731646573,6.242134368
           2020-09-25 18:34:00,30,6.74,6.24
           2020-09-25 18:44:00,40,6.74849028,6.238129963
           2020-09-25 18:54:00,50,6.75566417,6.240122689
           2020-09-25 19:04:00,60,6.76,6.25
           2020-09-25 19:14:00,70,6.760318232,6.269666768
           2020-09-25 19:24:00,80,6.756807858,6.292560061
           2020-09-25 19:34:00,90,6.75,6.31
           2020-09-25 19:44:00,100,6.740977532,6.316536299
           2020-09-25 19:54:00,110,6.733030324,6.319637065
           2020-09-25 20:04:00,120,6.73,6.33
           2020-09-25 20:14:00,130,6.73391979,6.354188035
           2020-09-25 20:24:00,140,6.739589363,6.382225012
           2020-09-25 20:34:00,150,6.74,6.4
           2020-09-25 20:44:00,160,6.730009976,6.398563413
           2020-09-25 20:54:00,170,6.711945555,6.389611037
           2020-09-25 21:04:00,180,6.69,6.39
           2020-09-25 21:14:00,190,6.667521789,6.411187942
           2020-09-25 21:24:00,200,6.644480268,6.443034545
           2020-09-25 21:34:00,210,6.62,6.47
           2020-09-25 21:44:00,220,6.593606572,6.481129262
           2020-09-25 21:54:00,230,6.566429669,6.483806339
           2020-09-25 22:04:00,240,6.54,6.49
           2020-09-25 22:14:00,250,6.51545933,6.508369082
           2020-09-25 22:24:00,260,6.492393648,6.534332691
           2020-09-25 22:34:00,270,6.47,6.56
           2020-09-25 22:44:00,280,6.447519071,6.578727743
           2020-09-25 22:54:00,290,6.424366108,6.588862897
           2020-09-25 23:04:00,300,6.4,6.59
           2020-09-25 23:14:00,310,6.374094017,6.583016243
           2020-09-25 23:24:00,320,6.347178957,6.573919426
           2020-09-25 23:34:00,330,6.32,6.57
           2020-09-25 23:44:00,340,6.29388264,6.57587395
           2020-09-25 23:54:00,350,6.272473621,6.585459398
           2020-09-26 00:04:00,360,6.26,6.59
           2020-09-26 00:14:00,370,6.258893942,6.583858326
           2020-09-26 00:24:00,380,6.264408041,6.57387261
           2020-09-26 00:34:00,390,6.27,6.57
           2020-09-26 00:44:00,400,6.270541593,6.578322375
