time_min,Loc_0m,Loc_86.4m,Loc_172.8m,Loc_259.2m,Loc_345.6m,Loc_432m,Loc_518.4m,Loc_604.8m,Loc_691.2m,Loc_777.6m,Loc_864m,Loc_950.4m,Loc_1036.8m,Loc_1123.2m,Loc_1209.6m,Loc_1296m,Loc_1382.4m,Loc_1468.8m,Loc_1555.2m,Loc_1641.6m,Loc_1728m,Loc_1814.4m,Loc_1900.8m,Loc_1987.2m,Loc_2073.6m,Loc_2160m,Loc_2246.4m,Loc_2332.8m,Loc_2419.2m,Loc_2505.6m,Loc_2592m,Loc_2678.4m,Loc_2764.8m,Loc_2851.2m,Loc_2937.6m,Loc_3024m,Loc_3110.4m,Loc_3196.8m,Loc_3283.2m,Loc_3369.6m,Loc_3456m,Loc_3542.4m,Loc_3628.8m,Loc_3715.2m,Loc_3801.6m,Loc_3888m,Loc_3974.4m,Loc_4060.8m,Loc_4147.2m,Loc_4233.6m,Loc_4320m,Loc_4406.4m,Loc_4492.8m,Loc_4579.2m,Loc_4665.6m,Loc_4752m,Loc_4838.4m,Loc_4924.8m,Loc_5011.2m,Loc_5097.6m,Loc_5184m
0,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
1,2.243581,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
2,3.198818,2.567278525,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
3,2.913833,2.87463705,2.723866137,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
4,1.915737,2.893007082,2.797697637,2.799614879,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
5,2.670334,2.419823942,2.843974809,2.799121131,2.836258084,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
6,2.007555,2.54363912,2.638673451,2.821123188,2.818503012,2.853984114,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
7,2.375587,2.285391586,2.593914125,2.732961803,2.820024719,2.836921741,2.862559022,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
8,2.400372,2.331489243,2.445809844,2.66633587,2.778085835,2.828922609,2.850206169,2.866707106,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
9,2.23626,2.36639979,2.392285876,2.560535962,2.724426993,2.804505695,2.840019896,2.858748582,2.868713728,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594,2.870594
