datetime,time_min,us_sensor_obs,ds_sensor_obs
15:46:00,0,2.851376,3.561397
15:47:00,1,2.860985,3.561397
15:48:00,2,2.870594,3.561397
15:49:00,3,2.243581,3.561397
15:50:00,4,3.198818,3.561397
15:51:00,5,2.913833,3.561397
15:52:00,6,1.915737,3.561397
15:53:00,7,2.670334,3.561397
15:54:00,8,2.007555,3.561397
15:55:00,9,2.375587,3.561397
15:56:00,10,2.400372,3.561397
15:57:00,11,2.23626,3.561397
15:58:00,12,2.206747,3.561397
15:59:00,13,2.110964,3.561397
16:00:00,14,2.353167,3.561397
16:01:00,15,3.052703,3.561397
16:02:00,16,1.983762,3.561397
16:03:00,17,1.861974,3.561397
16:04:00,18,2.47587,3.561397
16:05:00,19,2.245258,3.561397
16:06:00,20,2.963326,3.561397
16:07:00,21,3.139564,3.561397
16:08:00,22,2.45139,3.561397
16:09:00,23,2.97202,3.561397
16:10:00,24,3.08397,3.561397
16:11:00,25,3.290483,3.561397
16:12:00,26,3.808063,3.561397
16:13:00,27,5.600792,3.561397
16:14:00,28,8.525911,3.561397
16:15:00,29,13.572747,3.561397
16:16:00,30,20.490407,3.561397
16:17:00,31,28.386627,3.561397
16:18:00,32,39.144527,3.561397
16:19:00,33,52.255827,3.561397
16:20:00,34,64.353467,3.561397
16:21:00,35,78.315977,3.561397
16:22:00,36,92.674287,3.561397
16:23:00,37,106.128907,3.561397
16:24:00,38,120.420877,3.561397
16:25:00,39,133.039677,3.561397
16:26:00,40,144.230877,3.561397
16:27:00,41,154.613777,3.561397
16:28:00,42,163.777977,3.561397
16:29:00,43,169.793377,3.561397
16:30:00,44,175.104177,3.561397
16:31:00,45,179.331277,3.561397
16:32:00,46,181.430677,3.561397
16:33:00,47,182.348877,3.561397
16:34:00,48,182.346577,3.561397
16:35:00,49,180.888477,3.561397
16:36:00,50,178.161377,3.561397
16:37:00,51,175.008777,3.561397
16:40:00,52,171.327677,3.561397
16:41:00,53,160,3.561397
16:42:00,54,150.489577,3.561397
16:43:00,55,145.171177,3.561397
16:44:00,56,138.870577,3.561397
16:45:00,57,133.465177,3.561397
16:46:00,58,126.383677,3.561397
16:47:00,59,121.362677,3.561397
16:48:00,60,115.514277,3.561397
16:49:00,61,109.286877,3.561397
16:50:00,62,103.586387,3.561397
16:51:00,63,99.019917,3.561397
16:52:00,64,93.902077,3.561397
16:53:00,65,88.378537,3.561397
16:54:00,66,83.957727,3.561397
16:55:00,67,78.834547,3.561397
16:56:00,68,74.166657,3.561397
16:57:00,69,70.649527,3.561397
16:58:00,70,66.915817,3.561397
16:59:00,71,62.979257,3.561397
17:00:00,72,59.264607,3.561397
17:01:00,73,56.373577,3.561397
17:02:00,74,52.422837,3.561397
17:03:00,75,49.786517,3.561397
17:04:00,76,47.077747,3.561397
17:05:00,77,43.958317,3.561397
17:06:00,78,41.449807,3.561397
17:07:00,79,39.356387,3.561397
17:08:00,80,36.901257,3.561397
17:09:00,81,35.208577,3.561397
17:10:00,82,32.970877,3.561397
17:11:00,83,30.939597,3.561397
17:12:00,84,29.350567,3.561397
17:13:00,85,27.874087,3.561397
17:14:00,86,27.044677,3.561397
17:15:00,87,25.136567,3.561397
17:16:00,88,23.399507,3.561397
17:17:00,89,22.382957,3.561397
17:18:00,90,21.026967,3.561397
17:19:00,91,20.450137,3.561397
17:20:00,92,19.434807,3.561397
17:21:00,93,18.425497,3.561397
17:22:00,94,17.713229,3.561397
17:23:00,95,16.846606,3.561397
17:24:00,96,15.707962,3.561397
17:25:00,97,15.164225,3.561397
17:26:00,98,14.416797,3.561397
17:27:00,99,13.527144,3.561397
17:28:00,100,13.239261,3.561397
17:29:00,101,12.717868,3.561397
17:30:00,102,12.041362,3.561397
17:31:00,103,11.037776,3.561397
17:32:00,104,11.345868,3.561397
17:35:00,105,12.576863,3.561397
17:36:00,106,12.953894,3.561397
17:37:00,107,9.255952,3.561397
17:38:00,108,8.919415,3.483426
17:39:00,109,8.317492,3.577171
17:40:00,110,8.15193,3.584639
17:41:00,111,7.765977,3.648928
17:42:00,112,7.92109,3.799015
17:43:00,113,7.322065,3.983577
17:44:00,114,7.318404,4.064356
17:45:00,115,6.767194,4.544431
17:46:00,116,6.568688,4.872149
17:47:00,117,6.335179,5.64463
17:52:00,118,6.499215,6.558058
17:53:00,119,6.499215,7.692791
17:54:00,120,6.499215,8.848974
17:55:00,121,6.499215,10.980723
17:56:00,122,6.499215,12.6266
17:57:00,123,6.499215,15.24643
17:58:00,124,6.499215,17.247509
17:59:00,125,6.499215,22.073774
18:00:00,126,6.499215,23.419114
18:01:00,127,6.499215,28.058664
18:02:00,128,6.499215,31.714404
18:03:00,129,6.499215,37.148244
18:04:00,130,6.499215,41.430204
18:05:00,131,6.499215,46.791214
18:06:00,132,6.499215,50.830914
18:07:00,133,6.499215,55.275564
18:08:00,134,6.499215,60.270494
18:09:00,135,6.499215,66.288314
