datetime,time_min,us_sensor_obs,ds_sensor_obs
2020-09-26 15:46:00,0,2.851376,3.561397
2020-09-26 15:47:00,1,2.860985,3.561397
2020-09-26 15:48:00,2,2.870594,3.561397
2020-09-26 15:49:00,3,2.243581,3.561397
2020-09-26 15:50:00,4,3.198818,3.561397
2020-09-26 15:51:00,5,2.913833,3.561397
2020-09-26 15:52:00,6,1.915737,3.561397
2020-09-26 15:53:00,7,2.670334,3.561397
2020-09-26 15:54:00,8,2.007555,3.561397
2020-09-26 15:55:00,9,2.375587,3.561397
2020-09-26 15:56:00,10,2.400372,3.561397
2020-09-26 15:57:00,11,2.23626,3.561397
2020-09-26 15:58:00,12,2.206747,3.561397
2020-09-26 15:59:00,13,2.110964,3.561397
2020-09-26 16:00:00,14,2.353167,3.561397
2020-09-26 16:01:00,15,3.052703,3.561397
2020-09-26 16:02:00,16,1.983762,3.561397
2020-09-26 16:03:00,17,1.861974,3.561397
2020-09-26 16:04:00,18,2.47587,3.561397
2020-09-26 16:05:00,19,2.245258,3.561397
2020-09-26 16:06:00,20,2.963326,3.561397
2020-09-26 16:07:00,21,3.139564,3.561397
2020-09-26 16:08:00,22,2.45139,3.561397
2020-09-26 16:09:00,23,2.97202,3.561397
2020-09-26 16:10:00,24,3.08397,3.561397
2020-09-26 16:11:00,25,3.290483,3.561397
2020-09-26 16:12:00,26,3.808063,3.561397
2020-09-26 16:13:00,27,5.600792,3.561397
2020-09-26 16:14:00,28,8.525911,3.561397
2020-09-26 16:15:00,29,13.572747,3.561397
2020-09-26 16:16:00,30,20.490407,3.561397
2020-09-26 16:17:00,31,28.386627,3.561397
2020-09-26 16:18:00,32,39.144527,3.561397
2020-09-26 16:19:00,33,52.255827,3.561397
2020-09-26 16:20:00,34,64.353467,3.561397
2020-09-26 16:21:00,35,78.315977,3.561397
2020-09-26 16:22:00,36,92.674287,3.561397
2020-09-26 16:23:00,37,106.128907,3.561397
2020-09-26 16:24:00,38,120.420877,3.561397
2020-09-26 16:25:00,39,133.039677,3.561397
2020-09-26 16:26:00,40,144.230877,3.561397
2020-09-26 16:27:00,41,154.613777,3.561397
2020-09-26 16:28:00,42,163.777977,3.561397
2020-09-26 16:29:00,43,169.793377,3.561397
2020-09-26 16:30:00,44,175.104177,3.561397
2020-09-26 16:31:00,45,179.331277,3.561397
2020-09-26 16:32:00,46,181.430677,3.561397
2020-09-26 16:33:00,47,182.348877,3.561397
2020-09-26 16:34:00,48,182.346577,3.561397
2020-09-26 16:35:00,49,180.888477,3.561397
2020-09-26 16:36:00,50,178.161377,3.561397
2020-09-26 16:37:00,51,175.008777,3.561397
2020-09-26 16:38:00,52,171.327677,3.561397
2020-09-26 16:39:00,53,160,3.561397
2020-09-26 16:40:00,54,150.489577,3.561397
2020-09-26 16:41:00,55,145.171177,3.561397
2020-09-26 16:42:00,56,138.870577,3.561397
2020-09-26 16:43:00,57,133.465177,3.561397
2020-09-26 16:44:00,58,126.383677,3.561397
2020-09-26 16:45:00,59,121.362677,3.561397
2020-09-26 16:46:00,60,115.514277,3.561397
2020-09-26 16:47:00,61,109.286877,3.561397
2020-09-26 16:48:00,62,103.586387,3.561397
2020-09-26 16:49:00,63,99.019917,3.561397
2020-09-26 16:50:00,64,93.902077,3.561397
2020-09-26 16:51:00,65,88.378537,3.561397
2020-09-26 16:52:00,66,83.957727,3.561397
2020-09-26 16:53:00,67,78.834547,3.561397
2020-09-26 16:54:00,68,74.166657,3.561397
2020-09-26 16:55:00,69,70.649527,3.561397
2020-09-26 16:56:00,70,66.915817,3.561397
2020-09-26 16:57:00,71,62.979257,3.561397
2020-09-26 16:58:00,72,59.264607,3.561397
2020-09-26 16:59:00,73,56.373577,3.561397
2020-09-26 17:00:00,74,52.422837,3.561397
2020-09-26 17:01:00,75,49.786517,3.561397
2020-09-26 17:02:00,76,47.077747,3.561397
2020-09-26 17:03:00,77,43.958317,3.561397
2020-09-26 17:04:00,78,41.449807,3.561397
2020-09-26 17:05:00,79,39.356387,3.561397
2020-09-26 17:06:00,80,36.901257,3.561397
2020-09-26 17:07:00,81,35.208577,3.561397
2020-09-26 17:08:00,82,32.970877,3.561397
2020-09-26 17:09:00,83,30.939597,3.561397
2020-09-26 17:10:00,84,29.350567,3.561397
2020-09-26 17:11:00,85,27.874087,3.561397
2020-09-26 17:12:00,86,27.044677,3.561397
2020-09-26 17:13:00,87,25.136567,3.561397
2020-09-26 17:14:00,88,23.399507,3.561397
2020-09-26 17:15:00,89,22.382957,3.561397
2020-09-26 17:16:00,90,21.026967,3.561397
2020-09-26 17:17:00,91,20.450137,3.561397
2020-09-26 17:18:00,92,19.434807,3.561397
2020-09-26 17:19:00,93,18.425497,3.561397
2020-09-26 17:20:00,94,17.713229,3.561397
2020-09-26 17:21:00,95,16.846606,3.561397
2020-09-26 17:22:00,96,15.707962,3.561397
2020-09-26 17:23:00,97,15.164225,3.561397
2020-09-26 17:24:00,98,14.416797,3.561397
2020-09-26 17:25:00,99,13.527144,3.561397
2020-09-26 17:26:00,100,13.239261,3.561397
2020-09-26 17:27:00,101,12.717868,3.561397
2020-09-26 17:28:00,102,12.041362,3.561397
2020-09-26 17:29:00,103,11.037776,3.561397
2020-09-26 17:30:00,104,11.345868,3.561397
2020-09-26 17:31:00,105,12.576863,3.561397
2020-09-26 17:32:00,106,12.953894,3.561397
2020-09-26 17:33:00,107,9.255952,3.561397
2020-09-26 17:34:00,108,8.919415,3.483426
2020-09-26 17:35:00,109,8.317492,3.577171
2020-09-26 17:36:00,110,8.15193,3.584639
2020-09-26 17:37:00,111,7.765977,3.648928
2020-09-26 17:38:00,112,7.92109,3.799015
2020-09-26 17:39:00,113,7.322065,3.983577
2020-09-26 17:40:00,114,7.318404,4.064356
2020-09-26 17:41:00,115,6.767194,4.544431
2020-09-26 17:42:00,116,6.568688,4.872149
2020-09-26 17:43:00,117,6.335179,5.64463
2020-09-26 17:44:00,118,6.499215,6.558058
2020-09-26 17:45:00,119,6.499215,7.692791
2020-09-26 17:46:00,120,6.499215,8.848974
2020-09-26 17:47:00,121,6.499215,10.980723
2020-09-26 17:48:00,122,6.499215,12.6266
2020-09-26 17:49:00,123,6.499215,15.24643
2020-09-26 17:50:00,124,6.499215,17.247509
2020-09-26 17:51:00,125,6.499215,22.073774
2020-09-26 17:52:00,126,6.499215,23.419114
2020-09-26 17:53:00,127,6.499215,28.058664
2020-09-26 17:54:00,128,6.499215,31.714404
2020-09-26 17:55:00,129,6.499215,37.148244
2020-09-26 17:56:00,130,6.499215,41.430204
2020-09-26 17:57:00,131,6.499215,46.791214
2020-09-26 17:58:00,132,6.499215,50.830914
2020-09-26 17:59:00,133,6.499215,55.275564
2020-09-26 18:00:00,134,6.499215,60.270494
2020-09-26 18:01:00,135,6.499215,66.288314
2020-09-26 18:02:00,136,6.499215,71.749284
