datetime,time_min,Loc_864m,Loc_1728m,Loc_2592m,Loc_3456m,Loc_4320m
           2020-09-25 18:04:00,0,6.376981993,6.064507442,5.778764401,5.516544353,5.275127782
           2020-09-25 18:14:00,10,6.460325069,6.144785045,5.85649688,5.592159086,5.348977923
           2020-09-25 18:24:00,20,6.513969354,6.205375732,5.913735048,5.646546736,5.40093281
           2020-09-25 18:34:00,30,6.551990409,6.256227724,5.96222783,5.691784393,5.443371438
           2020-09-25 18:44:00,40,6.580388819,6.300958706,6.006517939,5.73272728,5.481260579
           2020-09-25 18:54:00,50,6.602145809,6.34103462,6.048551365,5.771673378,5.516982018
           2020-09-25 19:04:00,60,6.618796924,6.377029441,6.089100831,5.809763177,5.551773988
           2020-09-25 19:14:00,70,6.631082508,6.409115752,6.128350323,5.847536884,5.586302254
           2020-09-25 19:24:00,80,6.639300041,6.437279476,6.166175109,5.885192905,5.620921449
           2020-09-25 19:34:00,90,6.643637198,6.461422262,6.202288611,5.922719886,5.655804046
           2020-09-25 19:44:00,100,6.644289326,6.481430568,6.23632432,5.95996928,5.6910063
           2020-09-25 19:54:00,110,6.641564902,6.497219543,6.267886084,5.996698227,5.726502355
           2020-09-25 20:04:00,120,6.636186977,6.50876841,6.296581955,6.032597492,5.76220199
           2020-09-25 20:14:00,130,6.629353322,6.516182572,6.322049988,6.06731208,5.79796017
           2020-09-25 20:24:00,140,6.6224722,6.519754207,6.343984512,6.100458616,5.833582934
           2020-09-25 20:34:00,150,6.616181977,6.519980606,6.362165095,6.131642268,5.868832168
           2020-09-25 20:44:00,160,6.61012096,6.51744792,6.376483744,6.160474908,5.903430815
           2020-09-25 20:54:00,170,6.603201176,6.512685244,6.386953109,6.186594883,5.937069526
           2020-09-25 21:04:00,180,6.59462646,6.506058801,6.393692649,6.20968603,5.969415315
           2020-09-25 21:14:00,190,6.58414301,6.497805493,6.39689911,6.229493068,6.000122241
           2020-09-25 21:24:00,200,6.571920612,6.488100921,6.396820743,6.245831317,6.028843564
           2020-09-25 21:34:00,210,6.558097462,6.4771117,6.393740275,6.258591342,6.055244494
           2020-09-25 21:44:00,220,6.542672035,6.464987513,6.387964787,6.267739837,6.079014708
           2020-09-25 21:54:00,230,6.525563832,6.451840389,6.379814683,6.273317798,6.099879995
           2020-09-25 22:04:00,240,6.506832604,6.437734032,6.369610441,6.275436075,6.117612521
           2020-09-25 22:14:00,250,6.486731291,6.422703954,6.357658835,6.274268215,6.132039319
           2020-09-25 22:24:00,260,6.465650772,6.406785326,6.34424302,6.270040824,6.143048562
           2020-09-25 22:34:00,270,6.443909638,6.390033594,6.329617641,6.263022268,6.150593337
           2020-09-25 22:44:00,280,6.421703896,6.372517145,6.314007995,6.253510697,6.154692747
           2020-09-25 22:54:00,290,6.399116034,6.354303772,6.297609505,6.241822223,6.155430376
           2020-09-25 23:04:00,300,6.376142147,6.335448934,6.280586668,6.228279581,6.15295032
           2020-09-25 23:14:00,310,6.352701814,6.315988131,6.263071696,6.213201425,6.147451043
           2020-09-25 23:24:00,320,6.328670993,6.295930976,6.245163348,6.196892449,6.139177385
           2020-09-25 23:34:00,330,6.303999437,6.275259922,6.22692607,6.179634513,6.128411096
           2020-09-25 23:44:00,340,6.278738936,6.253944626,6.208389954,6.161678946,6.11546029
           2020-09-25 23:54:00,350,6.25311772,6.231959504,6.189553418,6.143240218,6.100648241
           2020-09-26 00:04:00,360,6.22784082,6.209310214,6.170388792,6.124491351,6.084301962
           2020-09-26 00:14:00,370,6.20414655,6.186098365,6.150851703,6.105561439,6.066741023
           2020-09-26 00:24:00,380,6.183540632,6.162590404,6.130898957,6.086535663,6.04826709
           2020-09-26 00:34:00,390,6.166820948,6.139247079,6.110514907,6.067458779,6.02915466
           2020-09-26 00:44:00,400,6.153846989,6.116620262,6.089740444,6.048342958,6.009643558
           2020-09-26 00:54:00,410,6.143750806,6.095220153,6.068686525,6.029179971,5.989933824
           2020-09-26 01:04:00,420,6.135713758,6.075413689,6.047528441,6.0099553,5.970183509
           2020-09-26 01:14:00,430,6.129163873,6.05742965,6.026485453,5.990661249,5.950509561
           2020-09-26 01:24:00,440,6.123857116,6.041391421,6.005800471,5.971306834,5.930991464
           2020-09-26 01:34:00,450,6.120184925,6.027361222,5.98572372,5.951924305,5.911677023
           2020-09-26 01:44:00,460,6.119235261,6.015425129,5.966502089,5.932572698,5.892589576
