datetime,time_min,Loc_1080m,Loc_2160m,Loc_3240m,Loc_4320m
           2020-09-25 18:04:00,0,11.23909781,11.23219562,11.22529343,11.21839124
           2020-09-25 18:14:00,10,11.2394411,11.23253891,11.22632331,11.21976441
           2020-09-25 18:24:00,20,11.19924779,11.1923456,11.17840733,11.17217603
           2020-09-25 18:34:00,30,11.12265079,11.1157486,11.10816915,11.10055512
           2020-09-25 18:44:00,40,11.03644958,11.02954739,11.0258647,11.01824708
           2020-09-25 18:54:00,50,10.93684991,10.92994772,10.93847229,10.93166329
           2020-09-25 19:04:00,60,10.82541031,10.81850812,10.84750739,10.84399554
           2020-09-25 19:14:00,70,10.70044888,10.69354669,10.75259666,10.75637248
           2020-09-25 19:24:00,80,10.57173045,10.56482826,10.65205262,10.66868632
           2020-09-25 19:34:00,90,10.44127173,10.43436954,10.54594847,10.57996955
